id;ticker_symbol;logo_url;industry;name;phone;website;description;full_time_employees
1;Man;Lodge Pennsylvania;Metal;Savings;293-697-5030;Philippine RSS;../fake-data/blob/hipster.txt;17693
2;reinvent;Infrastructure;architectures;calculate;(495) 760-1772 x9889;Delaware;../fake-data/blob/hipster.txt;12720
3;compress Balanced;partnerships Executive Assistant;incentivize Research;and Ports;567-965-6431 x1481;Bedfordshire;../fake-data/blob/hipster.txt;21849
4;metrics Technician;indexing Bedfordshire;SCSI extranet Market;Account;1-315-728-1014 x9993;Plastic;../fake-data/blob/hipster.txt;62739
5;Mississippi payment deposit;Loan Dynamic;Soap Incredible COM;concept;618-826-6803;Producer;../fake-data/blob/hipster.txt;20545
6;stable content Kids;Shoes cross-platform;Wooden Salad Account;Chair connecting;(337) 282-3407 x4195;New;../fake-data/blob/hipster.txt;79941
7;connecting transmitting;interactive Business-focused;Optimization;connecting Luxembourg;755.582.4200 x248;Fish pink;../fake-data/blob/hipster.txt;20110
8;Designer Functionality Plastic;purple;Rubber Metal;digital;1-900-469-7312;Accountability embrace;../fake-data/blob/hipster.txt;68643
9;magnetic Wooden;Usability Vision-oriented RSS;cutting-edge Vermont virtual;applications bi-directional;569.613.8290 x990;Toys;../fake-data/blob/hipster.txt;98777
10;Way;Tasty copy;action-items Bedfordshire Automotive;sensor virtual Metal;1-993-400-7490;matrices Factors;../fake-data/blob/hipster.txt;35624
